School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 80 - STATEN ISLAND,R,31,GAS SERVICE,220108,CIP,R880,715 OCEAN TERRACE,Staten Island,10301,STATEN IS,40.608517,-74.102078,2,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"(40.608517, -74.102078)",11/13/2017
P.P.A.S. - MANHATTAN,M,2,FY13 RESO A ROOM CONVERSIONS / PART,480000,CIP,M017,328 WEST 48 STREET,Manhattan,10036,MANHATTAN,40.761448,-73.988019,4,3,127,1025092,1010380014,Clinton                                                                    ,"(40.761448, -73.988019)",11/13/2017
K753 SPED - BROOKLYN,K,13,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,706260,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,BROOKLYN ,40.682533,-73.968769,2,35,179,3057521,3020080001,Fort Greene                                                                ,"(40.682533, -73.968769)",
Q177 SPED - QUEENS,Q,26,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,7221000,CIP,Q177,56-37 188 STREET,Queens,11365,QUEENS   ,40.74391,-73.788133,11,20,1417,4128231,4056740002,Auburndale                                                                 ,"(40.74391, -73.788133)",
P.S. 333 - QUEENS,Q,27,NEW A/C CHILLERS,1278870.32,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,97204,4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",
P.S. 184 - QUEENS,Q,25,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5631800,CIP,Q184,163-15 21 ROAD,Queens,11357,QUEENS   ,40.778095,-73.800163,7,19,1017,4129072,4057560001,Ft. Totten-Bay Terrace-Clearview                                           ,"(40.778095, -73.800163)",11/13/2017
ALFRED E. SMITH HS - X,X,7,FY16 RESO A AUDITORIUM UPGRADE,464500,CIP,X600,333 EAST 151 STREET,Bronx,10451,BRONX    ,40.818232,-73.919867,1,17,67,2001874,2024110022,Melrose South-Mott Haven North                                             ,"(40.818232, -73.919867)",11/13/2017
Q811 SPED - QUEENS,Q,26,LL 41/16 COMPLIANCE,747000,CIP,Q811,61-25 MARATHON PKWY,Queens,11362,QUEENS   ,40.756778,-73.729487,11,23,152902,4173060,4083610001,Douglas Manor-Douglaston-Little Neck                                       ,"(40.756778, -73.729487)",11/13/2017
P.S. 72 - MANHATTAN,M,4,SCIENCE LAB UPGRADE,718920,CIP,M072,131 EAST 104 STREET,Manhattan,10029,MANHATTAN,40.791179,-73.947776,11,8,166,1081340,1016320011,East Harlem South                                                          ,"(40.791179, -73.947776)",
P.S. 12 - QUEENS,Q,24,BOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL,5887000,CIP,Q012,42-00 72 STREET,Queens,11377,QUEENS   ,40.742633,-73.892805,2,26,483,4031853,4013490028,Elmhurst-Maspeth                                                           ,"(40.742633, -73.892805)",
